Loading Y_scaler from file Y_scaler.gz
target_element: torch.Size([10000, 3, 101])
target_element_all: torch.Size([9, 101])
Step 0, Loss: 55.06901168823242
Step 10, Loss: 53.75483703613281
Step 20, Loss: 52.451332092285156
Step 30, Loss: 51.360755920410156
Step 40, Loss: 50.38087463378906
Step 50, Loss: 49.480079650878906
Step 60, Loss: 48.646751403808594
Step 70, Loss: 47.902191162109375
Step 80, Loss: 47.209983825683594
Step 90, Loss: 46.57203674316406
Step 100, Loss: 46.001220703125
Step 110, Loss: 45.48106384277344
Step 120, Loss: 45.0045166015625
Step 130, Loss: 44.557796478271484
Step 140, Loss: 44.14295959472656
Step 150, Loss: 43.7589225769043
Step 160, Loss: 43.39755630493164
Step 170, Loss: 43.06049728393555
Step 180, Loss: 42.74421691894531
Step 190, Loss: 42.44157791137695
Step 200, Loss: 42.147193908691406
Step 210, Loss: 41.877079010009766
Step 220, Loss: 41.62162399291992
Step 230, Loss: 41.37544250488281
Step 240, Loss: 41.14545822143555
Step 250, Loss: 40.92718505859375
Step 260, Loss: 40.7331428527832
Step 270, Loss: 40.550453186035156
Step 280, Loss: 40.38427734375
Step 290, Loss: 40.21565246582031
Step 300, Loss: 40.05141830444336
Step 310, Loss: 39.900421142578125
Step 320, Loss: 39.75660705566406
Step 330, Loss: 39.619224548339844
Step 340, Loss: 39.48906326293945
Step 350, Loss: 39.356201171875
Step 360, Loss: 39.22380447387695
Step 370, Loss: 39.097164154052734
Step 380, Loss: 38.979278564453125
Step 390, Loss: 38.867496490478516
Step 400, Loss: 38.76061248779297
Step 410, Loss: 38.6537971496582
Step 420, Loss: 38.55247497558594
Step 430, Loss: 38.45930862426758
Step 440, Loss: 38.360870361328125
Step 450, Loss: 38.270164489746094
Step 460, Loss: 38.18730163574219
Step 470, Loss: 38.10533905029297
Step 480, Loss: 38.02788162231445
Step 490, Loss: 37.94175720214844
Step 500, Loss: 37.86170959472656
Step 510, Loss: 37.78537368774414
Step 520, Loss: 37.71258544921875
Step 530, Loss: 37.64400863647461
Step 540, Loss: 37.57419204711914
Step 550, Loss: 37.50722122192383
Step 560, Loss: 37.44089889526367
Step 570, Loss: 37.37254333496094
Step 580, Loss: 37.309181213378906
Step 590, Loss: 37.252220153808594
Step 600, Loss: 37.19260025024414
Step 610, Loss: 37.134254455566406
Step 620, Loss: 37.07833480834961
Step 630, Loss: 37.02191925048828
Step 640, Loss: 36.96486282348633
Step 650, Loss: 36.91554641723633
Step 660, Loss: 36.862586975097656
Step 670, Loss: 36.81285858154297
Step 680, Loss: 36.7621955871582
Step 690, Loss: 36.71337890625
Step 700, Loss: 36.665382385253906
Step 710, Loss: 36.61628723144531
Step 720, Loss: 36.5699348449707
Step 730, Loss: 36.527000427246094
Step 740, Loss: 36.4826545715332
Step 750, Loss: 36.440311431884766
Step 760, Loss: 36.393714904785156
Step 770, Loss: 36.34712600708008
Step 780, Loss: 36.30257034301758
Step 790, Loss: 36.26130294799805
Step 800, Loss: 36.22421646118164
Step 810, Loss: 36.1828727722168
Step 820, Loss: 36.14488983154297
Step 830, Loss: 36.10899353027344
Step 840, Loss: 36.071319580078125
Step 850, Loss: 36.030460357666016
Step 860, Loss: 35.99003601074219
Step 870, Loss: 35.95364761352539
Step 880, Loss: 35.91895294189453
Step 890, Loss: 35.877079010009766
Step 900, Loss: 35.83823776245117
Step 910, Loss: 35.80508041381836
Step 920, Loss: 35.76739501953125
Step 930, Loss: 35.72945022583008
Step 940, Loss: 35.69609832763672
Step 950, Loss: 35.66195297241211
Step 960, Loss: 35.62908935546875
Step 970, Loss: 35.59788513183594
Step 980, Loss: 35.5682487487793
Step 990, Loss: 35.53791809082031
Step 1000, Loss: 35.505226135253906
Step 1010, Loss: 35.47612380981445
Step 1020, Loss: 35.44588088989258
Step 1030, Loss: 35.4151611328125
Step 1040, Loss: 35.38650894165039
Step 1050, Loss: 35.359703063964844
Step 1060, Loss: 35.32982635498047
Step 1070, Loss: 35.300899505615234
Step 1080, Loss: 35.27223205566406
Step 1090, Loss: 35.2454833984375
Step 1100, Loss: 35.217140197753906
Step 1110, Loss: 35.18807601928711
Step 1120, Loss: 35.16401672363281
Step 1130, Loss: 35.13687515258789
Step 1140, Loss: 35.1131591796875
Step 1150, Loss: 35.088356018066406
Step 1160, Loss: 35.059959411621094
Step 1170, Loss: 35.03538131713867
Step 1180, Loss: 35.00688171386719
Step 1190, Loss: 34.981590270996094
Step 1200, Loss: 34.95918655395508
Step 1210, Loss: 34.936492919921875
Step 1220, Loss: 34.914554595947266
Step 1230, Loss: 34.89417266845703
Step 1240, Loss: 34.875762939453125
Step 1250, Loss: 34.853179931640625
Step 1260, Loss: 34.829132080078125
Step 1270, Loss: 34.80815124511719
Step 1280, Loss: 34.78227233886719
Step 1290, Loss: 34.759735107421875
Step 1300, Loss: 34.74039077758789
Step 1310, Loss: 34.71654510498047
Step 1320, Loss: 34.6972770690918
Step 1330, Loss: 34.675907135009766
Step 1340, Loss: 34.648223876953125
Step 1350, Loss: 34.62369918823242
Step 1360, Loss: 34.60328674316406
Step 1370, Loss: 34.58427047729492
Step 1380, Loss: 34.56019592285156
Step 1390, Loss: 34.540435791015625
Step 1400, Loss: 34.51999282836914
Step 1410, Loss: 34.50020217895508
Step 1420, Loss: 34.481693267822266
Step 1430, Loss: 34.461551666259766
Step 1440, Loss: 34.44123077392578
Step 1450, Loss: 34.42149353027344
Step 1460, Loss: 34.403907775878906
Step 1470, Loss: 34.38788986206055
Step 1480, Loss: 34.37189483642578
Step 1490, Loss: 34.354148864746094
Step 1500, Loss: 34.337562561035156
Step 1510, Loss: 34.318641662597656
Step 1520, Loss: 34.30131149291992
Step 1530, Loss: 34.282623291015625
Step 1540, Loss: 34.26536560058594
Step 1550, Loss: 34.24502944946289
Step 1560, Loss: 34.22748947143555
Step 1570, Loss: 34.20646286010742
Step 1580, Loss: 34.18708419799805
